29,Conductivité thermique [W/m.K],,,,,,,,,,,,,,,,,,,,,
22,BISRA 01,BISRA 02,BISRA 03,BISRA 04,BISRA 05,BISRA 06,BISRA 07,BISRA 08,BISRA 09,BISRA 10,BISRA 11,BISRA 12,BISRA 13,BISRA 14,BISRA 15,BISRA 16,BISRA 17,BISRA 18,BISRA 19,BISRA 20,BISRA 21,BISRA 22
253,65.302,59.442,51.907,51.907,48.14,49.814,51.07,45.209,46.047,36.419,34.326,33.488,33.07,48.558,43.116,25.116,12.977,12.558,15.907,26.791,25.116,24.279
323,62.791,58.605,51.488,51.488,48.14,49.395,50.233,45.209,46.047,37.256,35.163,34.744,33.488,47.721,42.698,26.791,13.814,13.814,15.907,27.209,25.954,25.116
373,60.279,57.767,51.07,50.651,48.14,48.14,48.977,44.791,46.465,37.674,36,35.581,33.907,46.465,42.698,28.465,14.651,14.651,16.326,27.628,26.372,25.954
423,57.767,55.256,49.814,49.814,47.721,46.884,47.721,44.791,45.628,38.093,36.419,36,34.744,45.209,42.279,29.302,15.488,15.488,16.744,27.628,26.791,26.791
473,55.674,53.581,48.558,48.14,46.465,45.209,46.047,42.698,44.791,38.512,36.837,36.419,35.163,44.372,41.861,30.14,16.326,16.326,17.163,27.628,27.209,27.209
523,53.163,51.488,46.465,46.884,45.209,43.116,43.954,41.023,43.954,39.349,36.837,36.419,35.581,43.535,41.442,30.977,17.163,16.744,17.581,28.047,27.209,27.628
573,51.07,49.395,44.372,45.628,43.954,41.442,41.861,40.186,43.116,38.093,36.837,36.419,35.581,42.279,40.605,30.977,18,17.581,18.419,28.047,27.628,28.047
623,48.558,47.721,43.535,44.372,43.116,40.186,40.186,38.512,41.442,37.256,36.837,36.419,35.581,40.605,39.767,30.977,18.837,18.419,19.256,28.047,27.628,28.465
673,46.465,44.791,42.698,41.861,41.023,38.093,38.512,37.256,40.186,36.419,36.419,36.419,35.581,38.512,38.93,30.977,19.256,18.837,20.093,27.628,27.628,28.465
723,43.535,42.279,41.023,40.186,39.767,36.419,36.837,36,38.512,35.581,35.581,35.581,34.744,37.256,37.674,30.977,19.674,19.674,20.93,27.628,27.628,28.465
773,41.023,40.186,39.349,38.093,38.512,35.163,35.581,34.744,37.256,34.326,35.163,34.326,33.488,35.581,36.419,30.977,20.512,20.512,21.767,27.209,27.209,28.047
823,39.349,38.093,37.674,36,36.837,33.907,34.326,33.488,36,33.07,34.326,33.07,32.233,33.907,35.163,30.558,21.349,21.349,23.023,26.791,27.209,27.628
873,37.674,36,35.581,33.907,36,32.651,33.07,31.814,34.326,31.814,33.488,31.814,30.558,31.814,33.907,30.14,21.767,22.186,23.86,26.372,26.791,27.209
923,36,33.907,33.907,32.233,33.488,31.395,31.814,30.14,32.651,30.14,31.814,30.14,29.302,30.14,32.651,29.302,22.186,22.605,24.698,25.954,25.954,27.209
973,33.907,31.814,31.814,30.14,31.395,30.14,30.558,28.465,31.395,28.465,29.302,28.465,28.047,28.884,30.977,28.047,22.605,23.442,25.535,25.535,25.535,26.791
1023,31.814,29.721,28.465,27.209,28.465,26.791,27.209,27.209,30.558,25.116,26.791,26.791,27.209,27.209,28.465,26.372,23.023,24.279,26.372,25.116,25.116,26.372
1073,30.14,28.465,25.954,24.698,26.791,24.279,24.279,23.86,29.721,25.116,25.954,25.954,26.791,25.954,26.372,25.116,23.442,25.116,26.791,25.116,25.116,25.954
1123,27.628,27.209,25.954,24.698,25.535,24.279,24.279,23.86,26.372,25.535,25.954,25.954,27.209,25.954,26.372,25.116,23.86,25.954,26.372,25.954,25.954,26.372
1173,27.209,26.791,26.372,25.535,25.954,25.535,25.116,24.698,26.791,26.372,26.372,26.372,27.628,26.791,27.209,25.535,24.279,26.372,26.791,26.791,26.791,26.791
1223,27.209,27.209,26.791,25.954,25.954,26.372,25.954,25.535,26.791,26.791,27.209,27.209,28.047,27.628,27.628,25.954,24.698,27.209,27.628,26.791,27.209,27.209
1273,27.628,27.628,27.209,26.791,26.791,26.791,26.791,25.954,27.209,27.628,27.628,27.628,28.465,28.047,28.047,26.372,25.535,27.628,28.047,27.628,27.628,27.628
1323,28.047,28.047,28.047,27.209,27.209,27.628,27.628,26.791,28.047,28.047,28.047,28.047,28.884,28.465,28.884,27.209,25.954,28.047,28.465,28.465,28.465,28.047
1373,28.465,28.465,28.465,28.047,28.047,28.465,28.465,27.209,28.465,28.465,28.884,28.884,29.302,28.884,29.302,27.628,26.791,28.465,28.884,28.884,28.884,28.465
1423,29.302,29.302,29.302,28.884,28.884,29.302,28.884,28.047,29.302,29.302,29.302,29.302,29.721,29.721,29.721,28.465,27.209,28.884,29.302,29.721,29.721,28.884
1473,29.721,29.721,29.721,29.721,29.721,30.14,29.721,28.465,29.721,30.14,29.709,29.721,30.14,30.14,30.14,29.302,28.047,29.721,29.721,30.558,30.14,29.302
1523,30.14,30.14,30.14,30.558,30.558,30.977,30.558,28.884,30.14,30.977,30.14,30.14,30.558,30.558,30.558,30.14,28.884,30.558,30.14,31.395,30.558,29.721
1573,30.558,30.558,30.558,31.395,31.395,31.814,31.395,29.302,30.558,31.814,30.558,30.558,30.977,30.977,30.977,30.977,29.721,31.395,30.558,32.233,30.977,30.14
1623,30.977,30.977,30.977,32.233,32.233,32.651,32.233,29.721,30.977,32.651,30.977,30.977,31.395,31.395,31.395,31.814,30.558,32.233,30.977,33.07,31.395,30.558
3000,30.977,30.977,30.977,32.233,32.233,32.651,32.233,29.721,30.977,32.651,30.977,30.977,31.395,31.395,31.395,31.814,30.558,32.233,30.977,33.07,31.395,30.558
