29,Chaleur massique [J/kg.K],,,,,,,,,,,,,,,,,,,,,
22,BISRA 01,BISRA 02,BISRA 03,BISRA 04,BISRA 05,BISRA 06,BISRA 07,BISRA 08,BISRA 09,BISRA 10,BISRA 11,BISRA 12,BISRA 13,BISRA 14,BISRA 15,BISRA 16,BISRA 17,BISRA 18,BISRA 19,BISRA 20,BISRA 21,BISRA 22
273,485.6,485.6,485.6,485.6,477.2,485.6,502.3,485.6,477.2,485.6,494,485.6,485.6,494,477.2,502.3,519.1,502.3,510.7,468.8,468.8,410.2
323,485.6,485.6,485.6,485.6,477.2,485.6,502.3,485.6,477.2,485.6,494,485.6,485.6,494,477.2,502.3,519.1,502.3,510.7,468.8,468.8,410.2
373,494,494,494,494,494,502.3,510.7,502.3,485.6,494,502.3,502.3,494,502.3,485.6,502.3,527.4,506.5,519.1,485.6,481.4,418.6
423,510.7,510.7,510.7,506.5,514.9,527.4,531.6,531.6,502.3,510.7,514.9,519.1,514.9,514.9,506.5,514.9,552.6,514.9,531.6,510.7,502.3,431.2
473,527.4,531.6,527.4,519.1,527.4,540,544.2,544.2,519.1,527.4,527.4,527.4,535.8,527.4,523.3,535.8,573.5,527.4,535.8,523.3,523.3,443.7
523,544.2,548.4,544.2,540,544.2,556.7,556.7,552.6,535.8,544.2,552.6,544.2,548.4,544.2,535.8,548.4,586,540,544.2,540,540,460.5
573,560.9,560.9,565.1,560.9,565.1,577.7,573.5,569.3,552.6,560.9,573.5,560.9,569.3,565.1,556.7,565.1,602.8,548.4,552.6,565.1,556.7,477.2
623,581.9,581.9,586,577.7,586,594.4,594.4,586,577.7,577.7,586,581.9,594.4,586,581.9,590.2,607,544.2,560.9,590.2,581.9,494
673,611.2,611.2,611.2,598.6,602.8,615.3,619.5,607,602.8,602.8,615.3,611.2,619.5,607,602.8,615.3,611.2,540,577.7,619.5,615.3,510.7
723,644.7,644.7,644.7,632.1,627.9,648.8,648.8,627.9,632.1,640.5,653,644.7,653,640.5,632.1,648.8,615.3,556.7,590.2,661.4,657.2,535.8
773,682.3,678.1,682.3,669.8,657.2,682.3,686.5,648.8,674,682.3,694.9,686.5,694.9,678.1,674,686.5,653,573.5,611.2,703.3,703.3,569.3
823,728.4,720,724.2,699.1,694.9,703.3,728.4,678.1,720,724.2,749.3,736.7,745.1,715.8,715.8,728.4,699.1,581.9,640.5,753.5,749.3,590.2
873,778.6,766,766,720,740.9,720,766,720,757.7,770.2,795.3,782.8,795.3,757.7,753.5,766,674,590.2,640.5,799.5,807.9,602.8
923,833,820.5,816.3,749.3,807.9,749.3,807.9,782.8,807.1,1214,1059,975.3,937.7,807.9,799.5,803.7,644.7,590.2,627.9,845.6,887.4,623.7
973,983.7,996.3,1139,1176,1344,1423,1511,1453,1147,1293,1239,1264,1356,1168,1218,866.5,644.7,586,623.7,891.6,958.6,678.1
1023,987.9,1051,1193,1101,1348,1344,1407,1369,1135,778.6,866.5,975.3,1147,1218,1247,1134,648.8,586,632.1,795.3,887.4,720
1073,837.2,912.6,845.6,565.1,736.7,636.3,623.7,653,686.5,615.3,565.1,569.3,636.3,749.3,728.4,987.9,653,586,644.7,745.1,870.7,699.1
1123,820.5,837.2,690.7,527.4,598.6,640.5,619.5,636.3,544.2,636.3,573.5,573.5,636.3,569.3,577.7,619.5,661.4,590.2,644.7,736.7,807.9,707.4
1173,749.3,732.6,648.8,586,607,619.5,619.5,623.7,560.9,644.7,607,598.6,640.5,594.4,590.2,627.9,665.6,594.4,644.7,661.4,653,657.2
1223,665.6,653,648.8,623.7,627.9,627.9,615.3,623.7,594.4,644.7,636.3,627.9,636.3,619.5,598.6,632.1,669.8,594.4,648.8,648.8,648.8,586
1273,669.8,657.2,648.8,627.9,627.9,636.3,619.5,632.1,602.8,644.7,636.3,644.7,632.1,627.9,607,640.5,678.1,598.6,653,648.8,644.7,602.8
1323,669.8,661.4,648.8,632.1,627.9,644.7,632.1,640.5,611.2,644.7,636.3,648.8,636.3,627.9,611.2,648.8,682.3,602.8,657.2,653,644.7,615.3
1373,669.8,661.4,653,636.3,636.3,657.2,644.7,644.7,619.5,640.5,644.7,653,636.3,619.5,619.5,657.2,690.7,607,665.6,653,648.8,611.2
1423,669.8,661.4,661.4,648.8,648.8,665.6,661.4,653,627.9,644.7,653,657.2,640.5,619.5,632.1,665.6,694.9,615.3,669.8,648.8,653,611.2
1473,669.8,661.4,669.8,661.4,661.4,674,674,661.4,636.3,653,653,661.4,644.7,627.9,636.3,674,699.1,632.1,674,648.8,661.4,611.2
1523,669.8,665.6,682.3,678.1,674,678.1,686.5,669.8,640.5,657.2,653,665.6,648.8,636.3,640.5,682.3,703.3,653,678.1,653,669.8,607
1573,669.8,669.8,686.5,686.5,678.1,678.1,694.9,669.8,644.7,661.4,653,661.4,653,644.7,644.7,686.5,703.3,661.4,678.1,653,678.1,611.2
1623,669.8,669.8,686.5,686.5,678.1,678.1,694.9,669.8,644.7,661.4,653,661.4,653,644.7,644.7,686.5,703.3,661.4,678.1,653,678.1,611.2
3000,669.8,669.8,686.5,686.5,678.1,678.1,694.9,669.8,644.7,661.4,653,661.4,653,644.7,644.7,686.5,703.3,661.4,678.1,653,678.1,611.2
,,,,,,,,,,,,,,,,,,,,,,
5,Chaleur polynomes [J/kg.K],,,,,,,,,,,,,,,,,,,,,
22,BISRA 01,BISRA 02,BISRA 03,BISRA 04,BISRA 05,BISRA 06,BISRA 07,BISRA 08,BISRA 09,BISRA 10,BISRA 11,BISRA 12,BISRA 13,BISRA 14,BISRA 15,BISRA 16,BISRA 17,BISRA 18,BISRA 19,BISRA 20,BISRA 21,BISRA 22
a,2585.2,,,,,,,,,,,,,,,,,,,,,
b*Tk,-12.315,,,,,,,,,,,,,,,,,,,,,
c*Tk^2,0.0242145,,,,,,,,,,,,,,,,,,,,,
d*Tk^3,-1.83868e-05,,,,,,,,,,,,,,,,,,,,,
e*Tk^4,4.759200000000001e-09,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
253,,485.6,,,,,,,,,,,,,,,,,,,,
273,,485.6,,,,,,,,,,,,,,,,,,,,
323,298,494,,,,,,,,,,,,,,,,,,,,
373,348,510.7,,,,,,,,,,,,,,,,,,,,
423,398,527.4,,,,,,,,,,,,,,,,,,,,
473,448,544.2,,,,,,,,,,,,,,,,,,,,
523,498,560.9,,,,,,,,,,,,,,,,,,,,
573,548,581.9,,,,,,,,,,,,,,,,,,,,
623,598,611.2,,,,,,,,,,,,,,,,,,,,
673,648,644.7,,,,,,,,,,,,,,,,,,,,
723,698,682.3,,,,,,,,,,,,,,,,,,,,
773,748,728.4,,,,,,,,,,,,,,,,,,,,
823,798,778.6,,,,,,,,,,,,,,,,,,,,
873,848,833,,,,,,,,,,,,,,,,,,,,
923,898,983.7,,,,,,,,,,,,,,,,,,,,
973,948,987.9,,,,,,,,,,,,,,,,,,,,
1023,998,837.2,,,,,,,,,,,,,,,,,,,,
1073,1048,820.5,,,,,,,,,,,,,,,,,,,,
1123,1098,749.3,,,,,,,,,,,,,,,,,,,,
1173,1148,665.6,,,,,,,,,,,,,,,,,,,,
1223,1198,669.8,,,,,,,,,,,,,,,,,,,,
1273,1248,669.8,,,,,,,,,,,,,,,,,,,,
1323,1298,669.8,,,,,,,,,,,,,,,,,,,,
1373,1348,669.8,,,,,,,,,,,,,,,,,,,,
1423,1398,669.8,,,,,,,,,,,,,,,,,,,,
1473,1448,669.8,,,,,,,,,,,,,,,,,,,,
1523,1498,669.8,,,,,,,,,,,,,,,,,,,,
1573,1548,669.8,,,,,,,,,,,,,,,,,,,,
1623,1598,669.8,,,,,,,,,,,,,,,,,,,,
3000,2311.5,,,,,,,,,,,,,,,,,,,,,
