29,Enthalpy [J/kg],,,,,,,,,,,,,,,,,,,,,
22,BISRA 01,BISRA 02,BISRA 03,BISRA 04,BISRA 05,BISRA 06,BISRA 07,BISRA 08,BISRA 09,BISRA 10,BISRA 11,BISRA 12,BISRA 13,BISRA 14,BISRA 15,BISRA 16,BISRA 17,BISRA 18,BISRA 19,BISRA 20,BISRA 21,BISRA 22
273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323,24280,24280,24280,24280,23860,24280,25120,24280,23860,24280,24700,24280,24280,24700,23860,25120,25950,25120,25530,23440,23440,20510
373,48560,48560,48560,48560,47720,48560,50230,48560,47720,48560,49400,48560,48560,49400,47720,50230,51910,50230,51070,46880,46880,41020
423,73670,73670,73670,73670,73260,74510,76190,74510,72420,73670,74930,74510,73670,74930,72420,75350,78700,75770,77440,72000,71580,62370
473,99630,99630,99630,99210,99210,101300,103400,101700,97950,99630,100900,100500,100000,100900,98370,101700,107200,101700,104200,97950,97120,84140
523,126400,126800,126400,125600,126000,128500,130600,128900,124300,126400,127700,127300,127300,127700,124700,128900,136000,128500,131000,124300,123900,106700
573,154000,154500,154000,153200,153600,157000,159100,157000,151500,154000,156100,154900,154900,155300,152000,156600,165800,155700,158700,152000,151100,130200
623,182500,182900,182900,181700,182500,186300,188000,185900,179600,182500,185000,183300,184200,184200,180400,185400,196300,183300,186300,180800,179600,154500
673,212200,212700,212700,211000,212200,216400,218500,215600,209300,211800,214700,213100,214300,213900,210100,215600,226500,210100,214700,211000,209300,179600
723,243600,244000,244000,241500,242800,247800,249900,246600,239900,242800,246600,244500,246100,244900,240700,247000,257400,237300,244000,242800,241100,205500
773,276700,277100,277100,274200,275000,281300,283400,278400,272500,275900,280000,277500,279600,278000,273300,280500,288000,265800,273800,277100,275000,233200
823,311900,311900,312300,308500,308500,316000,318600,311400,307300,311000,316000,313100,315600,312700,308100,315600,322700,294700,305200,313100,311400,262500
873,349500,349100,349500,344100,344500,351600,356200,346200,344500,348300,355000,351200,354100,349500,344900,353300,357900,324000,337800,352500,350000,292200
923,389700,388500,388900,380500,382600,388000,395200,383400,383000,388000,395600,391400,395200,388500,383400,392200,390100,353700,369200,393100,392200,322700
973,432800,431200,431200,419000,425300,426600,437000,424500,425200,469700,460900,448700,447900,430300,424900,433700,422400,383000,400600,437000,438700,354600
1023,488100,488100,502700,498100,517000,530400,546300,528700,497700,517400,519500,517800,530800,505300,505300,478900,454600,412300,431600,482200,488100,390600
1073,531600,536200,550500,529100,560100,560900,577700,561300,538700,547500,547500,546300,562600,552100,549600,547100,487300,441600,463800,516600,527400,426600
1123,571800,579300,587300,554700,590700,594000,608700,594000,566400,578900,576000,574700,594400,580200,578100,577700,519900,470900,496000,556700,575200,460500
1173,613700,620000,619500,581900,620000,625000,639600,625000,593200,611200,604900,603600,626200,609100,607400,609100,553400,500700,528300,590200,608200,497300
1223,646700,652600,652200,613300,651300,656000,670600,656400,622500,643400,636700,634600,658500,639600,637100,640500,586500,530400,560500,622900,640500,526200
1273,680200,685300,684400,644200,682700,687800,701200,687300,652600,675600,668500,666400,689900,671000,667300,672300,620400,560100,593200,655100,673100,555900
1323,713700,718300,717100,676000,714100,719600,732600,719600,682700,707900,700300,699100,721700,702400,697800,704500,654300,590200,625800,687800,704900,586500
1373,747200,751400,749300,707400,745500,752200,764400,751400,713700,740100,732100,731300,753500,733800,728400,737200,688600,620400,658900,720400,737600,617400
1423,780700,784500,782400,739700,777800,785300,797000,784000,744700,771900,764800,764400,785300,764400,759800,770200,723300,650900,692400,753100,769800,647600
1473,814200,817500,815400,772300,810400,818800,830500,816700,776500,804600,797400,797000,817500,795800,791600,803700,758100,681900,725900,785300,802900,678600
1523,847700,850600,849300,805800,843900,852700,864400,850200,808300,837200,830100,830500,849800,827200,823400,837600,793300,714100,759800,818000,836000,708700
1573,881200,884100,883700,840100,877800,886600,899200,883700,840600,870300,862700,863600,882400,859400,855600,872000,828400,747200,793700,850600,869900,739300
1623,914700,917600,918000,874500,911700,920500,933900,917200,872800,903300,895400,896700,915100,891600,887900,906300,863600,780300,827600,883300,903800,769800
3000,1837014.6,1839914.6,1863310.5,1819810.5,1845443.7,1854243.7,1890777.3,1839514.6,1760551.9,1814047.8,1794581,1807447.8,1814281,1779351.9,1775651.9,1851610.5,1832044.1,1691047.8,1761343.7,1782481,1837543.7,1611422.4
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,681.4776859504133,,,,,,,,,,,,,,,,,,,,,
,58209552.341597795,,,,,,,,,,,,,,,,,,,,,
