Enthalpie [kJ/kg],,,,
T [K],enthalpie,kcal/kg,,
273,0,0,,
323,24.28,5.7991784520000005,,
373,48.56,11.598356904000001,,
423,73.67,17.595777453,,
473,99.63,23.796217017,,
523,126.4,30.19012176,,
573,154,36.7822686,,
623,182.5,43.58937675,,
673,212.2,50.683099979999994,,
723,243.6,58.18286124,,
773,276.7,66.08866053,,
823,311.9,74.49603621,,
873,349.5,83.47664205,,
923,389.7,93.07824723,,
973,432.8,103.37250552,,
1023,488.1,116.58068379000001,,
1073,531.6,126.97048044,,
1123,571.8,136.57208562,,
1173,613.7,146.57972883000002,,
1223,646.7,154.46164353,,
1273,680.2,162.46298118,,
1323,713.7,170.46431883000002,,
1373,747.2,178.46565648,,
1423,780.7,186.46699413000002,,
1473,814.2,194.46833178,,
1523,847.7,202.46966943,,
1573,881.2,210.47100708000002,,
1623,914.7,218.47234473,,
3000,914.7,218.47234473,,
