24,,,,,,,,,,,,,,,,,,,,,,,,,
25,tata,BFG_Sidmar,Blue_Scope_compo_2,Gaz naturel,Gaz_de_cokerie,Gaz_Haut_Fourneau,Gaz_mixte,Gaz_naturel,Gaz_Sidmar,GN Saint Chely,GN_20%H2,GN_Ascometal,GN_Aulnoye,GN_Duferco,GN_Gueugnon,GN_Rath,GN_saint_saulve,Methane,Mixte_2600,NG_Allegheny,NG_Borcelik,NG_PortTalbot,NG_Roman,NG_Ternium,Propane
O2,,0.61,,,,,,,0.14,,,,,,,,,,,0.02,,,,,
CO2,22.55,23.03,0.603,,,20,8,,7.61,,,1.73,2.3,1.15,0.8,2.3,,,12.726672,0.11,0.044,,0.183499999999995,,
H2O,4.05,,,,,,,,,,,,,,,,,,,,,,,,
N2,43.65,47.64,1.524,1,20,60,32.7,3.5,12.14,5,3.5,11.75,1,12.15,0.31,4.6,14.3,,27.261493,0.93,0.749,2.33,0.3644,,
SO2,,,,,,,,,,,,,,,,,,,,,,,,,
H2,4.8,4.19,,,,10,4,,32.36,,20,,,,,,,,30.808737,,,,,,
CH4,,,93.392,94,18.5,2,26.2,90,28.76,95,70,82.33,88.9,82.49,93.09,92.1,81.3,100,11.389898,93.39,94.633,90.4,98.77,92.3,
C2H6,,,3.471,3,,,0.8,4,1.325,,4,3.31,6.2,3.33,4.07,1,2.9,,1.6066089,3.92,3.428,6.03,0.36,4.2,
C3H8,,,0.652,2,,,0.4,2,0.2,,2,0.58,1.1,0.61,0.66,,0.4,,,0.92,0.839,0.9,0.15,0.72,100
C4H10,,,0.227,,,,0.1,0.5,0.065,,0.5,0.3,0.5,0.22,0.26,,0.2,,,0.4,0.289,0.19,0.0844,0.4,
C5H12,,,0.064,,,,,,0.015,,,,,0.05,0.81,,0.9,,,,0.01,,0.0375,2.38,
C6H14,,,0.067,,,,,,,,,,,,,,,,,,0.008,,0.0502,,
C7H16,,,,,,,,,,,,,,,,,,,,,,,,,
C8H18,,,,,,,,,,,,,,,,,,,,,,,,,
C2H2,,,,,,,,,,,,,,,,,,,,,,,,,
C2H4,,,,,,,,,0.86,,,,,,,,,,0.8760401,,,,,,
C3H6,,,,,,,,,0.07,,,,,,,,,,,,,,,,
C4H8,,,,,,,,,,,,,,,,,,,,,,0.13,,,
C5H10,,,,,,,,,,,,,,,,,,,,0.135,,0.02,,,
C6H12,,,,,,,,,,,,,,,,,,,,0.175,,,,,
C6H6,,,,,,,,,,,,,,,,,,,,,,,,,
C7H8,,,,,,,,,,,,,,,,,,,,,,,,,
CO,24.95,24.53,,,60,8,27.2,,16.455,,,,,,,,,,15.330551,,,,,,
H2S,,,,,1.5,,0.6,,,,,,,,,,,,,,,,,,
