Masse volumique [kg/m3],,,,,,,,,,,,,,,,,,,,,,
T [K],BISRA 01,BISRA 02,BISRA 03,BISRA 04,BISRA 05,BISRA 06,BISRA 07,BISRA 08,BISRA 09,BISRA 10,BISRA 11,BISRA 12,BISRA 13,BISRA 14,BISRA 15,BISRA 16,BISRA 17,BISRA 18,BISRA 19,BISRA 20,BISRA 21,BISRA 22
253,7876,7861,7863,7858,7848,7855,7855,7834,7854,7859,7851,7852,7863,7847,7850,7729,7877,8166,7921,7749,7745,8696
323,7876,7861,7863,7858,7848,7855,7855,7834,7854,7859,7851,7852,7863,7847,7850,7729,7877,8166,7921,7749,7745,8696
373,7876,7861,7863,7858,7848,7855,7855,7834,7854,7859,7851,7852,7863,7847,7850,7729,7877,8166,7921,7749,7745,8696
423,7876,7861,7863,7858,7848,7855,7855,7834,7854,7859,7851,7852,7863,7847,7850,7729,7877,8166,7921,7749,7745,8696
473,7876,7861,7863,7858,7848,7855,7855,7834,7854,7859,7851,7852,7863,7847,7850,7729,7877,8166,7921,7749,7745,8696
523,7876,7861,7863,7858,7848,7855,7855,7834,7854,7859,7851,7852,7863,7847,7850,7729,7877,8166,7921,7749,7745,8696
573,7876,7861,7863,7858,7848,7855,7855,7834,7854,7859,7851,7852,7863,7847,7850,7729,7877,8166,7921,7749,7745,8696
623,7876,7861,7863,7858,7848,7855,7855,7834,7854,7859,7851,7852,7863,7847,7850,7729,7877,8166,7921,7749,7745,8696
673,7876,7861,7863,7858,7848,7855,7855,7834,7854,7859,7851,7852,7863,7847,7850,7729,7877,8166,7921,7749,7745,8696
723,7876,7861,7863,7858,7848,7855,7855,7834,7854,7859,7851,7852,7863,7847,7850,7729,7877,8166,7921,7749,7745,8696
773,7876,7861,7863,7858,7848,7855,7855,7834,7854,7859,7851,7852,7863,7847,7850,7729,7877,8166,7921,7749,7745,8696
823,7876,7861,7863,7858,7848,7855,7855,7834,7854,7859,7851,7852,7863,7847,7850,7729,7877,8166,7921,7749,7745,8696
873,7876,7861,7863,7858,7848,7855,7855,7834,7854,7859,7851,7852,7863,7847,7850,7729,7877,8166,7921,7749,7745,8696
923,7876,7861,7863,7858,7848,7855,7855,7834,7854,7859,7851,7852,7863,7847,7850,7729,7877,8166,7921,7749,7745,8696
973,7876,7861,7863,7858,7848,7855,7855,7834,7854,7859,7851,7852,7863,7847,7850,7729,7877,8166,7921,7749,7745,8696
1023,7876,7861,7863,7858,7848,7855,7855,7834,7854,7859,7851,7852,7863,7847,7850,7729,7877,8166,7921,7749,7745,8696
1073,7876,7861,7863,7858,7848,7855,7855,7834,7854,7859,7851,7852,7863,7847,7850,7729,7877,8166,7921,7749,7745,8696
1123,7876,7861,7863,7858,7848,7855,7855,7834,7854,7859,7851,7852,7863,7847,7850,7729,7877,8166,7921,7749,7745,8696
1173,7876,7861,7863,7858,7848,7855,7855,7834,7854,7859,7851,7852,7863,7847,7850,7729,7877,8166,7921,7749,7745,8696
1223,7876,7861,7863,7858,7848,7855,7855,7834,7854,7859,7851,7852,7863,7847,7850,7729,7877,8166,7921,7749,7745,8696
1273,7876,7861,7863,7858,7848,7855,7855,7834,7854,7859,7851,7852,7863,7847,7850,7729,7877,8166,7921,7749,7745,8696
1323,7876,7861,7863,7858,7848,7855,7855,7834,7854,7859,7851,7852,7863,7847,7850,7729,7877,8166,7921,7749,7745,8696
1373,7876,7861,7863,7858,7848,7855,7855,7834,7854,7859,7851,7852,7863,7847,7850,7729,7877,8166,7921,7749,7745,8696
1423,7876,7861,7863,7858,7848,7855,7855,7834,7854,7859,7851,7852,7863,7847,7850,7729,7877,8166,7921,7749,7745,8696
1473,7876,7861,7863,7858,7848,7855,7855,7834,7854,7859,7851,7852,7863,7847,7850,7729,7877,8166,7921,7749,7745,8696
1523,7876,7861,7863,7858,7848,7855,7855,7834,7854,7859,7851,7852,7863,7847,7850,7729,7877,8166,7921,7749,7745,8696
1573,7876,7861,7863,7858,7848,7855,7855,7834,7854,7859,7851,7852,7863,7847,7850,7729,7877,8166,7921,7749,7745,8696
1623,7876,7861,7863,7858,7848,7855,7855,7834,7854,7859,7851,7852,7863,7847,7850,7729,7877,8166,7921,7749,7745,8696
3000,7876,7861,7863,7858,7848,7855,7855,7834,7854,7859,7851,7852,7863,7847,7850,7729,7877,8166,7921,7749,7745,8696
