Caractéristiques des gaz élémentaires,,,,,,,,,,,,,,,,,,
,,,,,,,[g/mol],[J/kmol] à 25°C et 1 atm,[J/kmol] à 25°C et 1 atm,[J/kmol] à 25°C et 1 atm,2273,Coefficients des fonctions polynomiales de Cp,,,,,,
NOM,FORMULE,NOMBRE ATOMES C,NOMBRE ATOMES H,NOMBRE ATOMES O,NOMBRE ATOMES N,NOMBRE ATOMES S,MASSE MOLAIRE,ENTHALPIE STD FORMATION,PCI,PCS,CHALEUR MASSIQUE,a, +bT, + cT2, +dT3, +eT4, +fT5, +gT6
Oxygène,O2,,,2,,,31.998,0,0,0,1272.3885553943765,876.317,0.122828,0.000558304,-1.20247e-06,1.14741e-09,-5.12377e-13,8.56597e-17
Dioxyde de carbone,CO2,1,,2,,,44.01,-393532400,0,0,2869.686494605777,535.446,1.27867,-0.00054678,-2.3822e-07,1.892e-10,,
Vapeur d'eau,H2O,,2,1,,,18.015,-241837900,0,44000000,4728.783429291765,1937.8,-1.18077,0.00364357,-2.8633e-06,7.5958e-10,,
Azote,N2,,,,2,,28.0134,0,0,0,1317.5380966208859,1027.05,0.0216182,0.00014864,-4.4842e-08,,,
Dioxyde de soufre,SO2,,,2,,1,64.06400000000001,-296861200,0,0,918.4321526741728,377.46,1.045,-0.00084831,3.108e-07,-4.1261e-11,,
Hydrogène,H2,,2,,,,2.016,0,241837900,285837900,15062.104131704626,13321,5.3534,-0.0091581,7.2403e-06,-1.8034e-09,,
Méthane,CH4,1,4,,,,16.043,-74895180,802313020,890313020,5869.8216062,912.66,4.618,-0.0010722,,,,
Ethane,C2H6,2,6,,,,30.07,-83863290,1428715210,1560715210,5364.551254368331,150.2,6.0917,-0.0025629,3.9249e-07,,,
Propane,C3H8,3,8,,,,44.097,-103860200,2044088600,2220088600,2456.4124084917476,921.38,4.3336,-0.00046783,-5.0225e-07,,,
Butane,C4H10,4,10,,,,58.124,-133225000,2650094100,2870094100,5489.508463827369,54.758,6.5219,-0.0033394,6.6961e-07,,,
Pentane,C5H12,5,12,,,,72.151,-146357200,3272332200,3536332200,5563.24707262956,-23.602,6.6902,-0.003541,7.3868e-07,,,
Hexane,C6H14,6,14,,,,86.179,-166977500,3887082200,4195082200,1500,1500,,,,,,
Heptane,C7H16,7,16,,,,100.206,-188000000,4501430000,4853430000,1500,1500,,,,,,
Octane,C8H18,8,18,,,,114.233,-209000000,5115800300,5511800300,1500,1500,,,,,,
Acéthylène,C2H2,2,2,,,,26.038,226751000,1255653700,1299653700,1500,1500,,,,,,
Ethylène,C2H4,2,4,,,,28.054000000000002,52455400,1323196000,1411196000,4705.375658906349,153.54,5.5211,-0.0029423,6.5566e-07,-1.8578e-11,,
Propylène,C3H6,3,6,,,,42.81,20444050,1926554950,2058554950,5025.306076243797,-30.857,5.1127,-0.0018624,-1.8075e-07,1.9405e-10,,
Butène,C4H8,4,8,,,,56.108,-496195.2000004966,2540985004.7999997,2716985004.7999997,1500,1500,,,,,,
Pentène,C5H10,5,10,,,,70.135,-23942579.49790801,3152908920.502092,3372908920.502092,1500,1500,,,,,,
Hexène,C6H12,6,12,,,,84.163,-45330288.70292944,3766891511.2970705,4030891511.2970705,1500,1500,,,,,,
Benzène,C6H6,6,6,,,,78.115,82887890,3169595990,3301595990,1500,1500,,,,,,
Toluène,C7H8,7,8,,,,92.142,79649191.20000027,3801727591.2000003,3977727591.2000003,1500,1500,,,,,,
Monoxyde de carbone,CO,1,,1,,,28.011,-110539600,282992800,282992800,1292.2262288134893,1046.69,-0.156841,0.0005399,-3.0106e-07,5.0505e-11,,
Sulfure d'hydrogène,H2S,,2,,,1,34.082,-20506430,518192670,562192670,2121.8866745842925,997.68,-0.38524,0.0016477,-1.2203e-06,2.9287e-10,,
